"Código","Escala_Cog.","Escala_Mot.","Escala_Dis.","Edad_Mes","Región","Área","Modalidad","Departamento","Quintil","Inst_Mat.","Inst_Pat.","Inst_Pre_N3"
680,69,27,24,60,"Selva","Urbana","Jardín","Loreto","4","Secundaria completo","Secundaria completo","No"
691,82,30,28,60,"Selva","Urbana","Jardín","Loreto","4","Superior técnico incompleto","Superior técnico completo","No"
1612,102,29,28,61,"Sierra","Urbana","Jardín","Piura","1","Primaria completo","Secundaria incompleto","No"
38,71,24,22,61,"Sierra","Urbana","Jardín","Piura","1","Superior técnico completo","Superior técnico completo","No"
1775,99,29,27,61,"Costa","Urbana","Jardín","Piura","3","Secundaria completo","Secundaria completo","No"
688,95,30,29,60,"Selva","Urbana","Jardín","Loreto","4","Secundaria incompleto","Superior técnico completo","No"
1843,148,34,31,60,"Selva","Rural","Jardín","Loreto","3","Secundaria incompleto","Secundaria incompleto","No"
542,67,22,21,60,"Sierra","Rural","Jardín","Cusco","3","Secundaria completo","Secundaria completo","NS/NR"
795,73,19,20,60,"Sierra","Urbana","Cuna-Jardín","Cusco","2","Superior universitario completo","Superior universitario incompleto","No"
742,40,14,20,59,"Sierra","Urbana","Jardín","Cusco","5","Secundaria incompleto","Secundaria completo","No"
3070,117,35,36,63,"Costa","Urbana","Jardín","Lima Met.","4","Superior universitario incompleto","Superior técnico completo","No"
2834,89,22,22,63,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Secundaria completo","No"
2459,117,31,29,61,"Costa","Urbana","Jardín","Piura","3","Secundaria incompleto","Secundaria incompleto","No"
1611,131,31,27,61,"Sierra","Urbana","Jardín","Piura","1","Superior universitario completo","Superior universitario completo","No"
350,82,19,21,61,"Costa","Urbana","Jardín","Piura","3","Secundaria completo","Secundaria completo","No"
159,82,20,26,61,"Costa","Rural","Jardín","Piura","3","Secundaria completo","Secundaria completo","No"
158,83,21,26,61,"Costa","Rural","Jardín","Piura","3","Secundaria completo","Secundaria completo","No"
1281,50,18,18,61,"Costa","Urbana","Cuna-Jardín","Piura","4","Secundaria completo","Secundaria completo","No"
2237,65,27,24,61,"Costa","Urbana","Jardín","Piura","3","Primaria incompleto","Primaria completo","No"
3203,113,33,26,63,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria completo","Secundaria completo","No"
3071,91,33,35,63,"Costa","Urbana","Jardín","Lima Met.","4","Secundaria incompleto","Secundaria incompleto","No"
1689,75,22,28,59,"Selva","Urbana","Jardín","Cusco","3","Secundaria completo","Secundaria completo","NS/NR"
1055,72,25,23,59,"Selva","Rural","Jardín","Cusco","4","Secundaria incompleto","Secundaria incompleto","No"
2194,79,28,25,61,"Costa","Urbana","Jardín","Piura","5","Superior universitario completo","Superior universitario incompleto","No"
2447,121,26,29,62,"Costa","Urbana","Jardín","Piura","3","Primaria completo","Primaria completo","No"
1745,68,16,13,59,"Selva","Urbana","Jardín","Cusco","3","Secundaria incompleto","Secundaria incompleto","Sí"
603,51,22,17,59,"Sierra","Rural","Jardín","Cusco","4","Secundaria incompleto","Secundaria incompleto","No"
