"Código","Departamento","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
814,"Cusco",107,32,73,25
1033,"Cusco",84,25,63,23
222,"Piura",98,28,60,30
573,"Cusco",108,28,52,25
1875,"Piura",153,36,73,31
1043,"Piura",100,28,72,30
2609,"Piura",40,26,33,11
3254,"Lima Metropolitana",91,27,57,22
2266,"Piura",127,36,66,35
3311,"Lima Metropolitana",99,22,55,23
2249,"Piura",104,31,61,32
1848,"Loreto",147,36,66,30
3342,"Lima Metropolitana",155,36,71,35
1885,"Piura",116,34,76,27
2397,"Piura",146,35,68,30
2116,"Loreto",58,23,55,24
529,"Loreto",139,36,60,29
3110,"Lima Metropolitana",91,31,42,21
229,"Piura",100,30,56,31
266,"Piura",65,20,58,22
91,"Cusco",86,29,54,22
223,"Piura",106,28,63,31
66,"Cusco",103,26,63,25
1751,"Piura",106,35,75,29
3101,"Lima Metropolitana",114,30,58,29
263,"Piura",70,20,61,27
236,"Piura",68,20,42,24
3449,"Lima Metropolitana",99,27,55,16
267,"Piura",108,28,67,31
396,"Piura",67,24,56,22
2381,"Piura",118,31,73,35
3280,"Lima Metropolitana",102,32,57,22
774,"Loreto",85,28,56,26
3138,"Lima Metropolitana",82,35,65,25
1022,"Cusco",83,25,63,23
1781,"Loreto",82,29,65,22
3339,"Lima Metropolitana",156,36,74,33
3224,"Lima Metropolitana",85,26,55,22
3192,"Lima Metropolitana",112,31,59,26
2595,"Piura",104,30,63,29
2146,"Cusco",83,26,48,23
269,"Piura",105,29,60,30
2343,"Piura",71,33,73,29
3361,"Lima Metropolitana",116,31,57,27
1246,"Loreto",111,29,61,31
3288,"Lima Metropolitana",140,33,62,27
357,"Cusco",80,23,47,19
3301,"Lima Metropolitana",67,16,45,23
827,"Cusco",93,30,64,24
1249,"Loreto",125,34,55,34
1450,"Cusco",69,23,52,18
297,"Cusco",65,24,50,24
3015,"Lima Metropolitana",99,31,55,25
268,"Piura",110,28,68,31
94,"Cusco",142,33,58,26
1248,"Loreto",128,34,58,27
1879,"Piura",110,34,75,27
1314,"Loreto",142,35,69,34
2393,"Piura",128,31,70,32
569,"Cusco",68,22,47,20
3338,"Lima Metropolitana",156,36,64,29
3373,"Lima Metropolitana",88,29,57,21
3239,"Lima Metropolitana",155,36,52,34
2395,"Piura",118,35,64,30
503,"Loreto",96,19,51,24
643,"Piura",67,24,58,25
934,"Cusco",76,23,53,23
2402,"Piura",121,33,69,32
1247,"Loreto",75,22,51,19
273,"Piura",111,24,58,24
2600,"Piura",72,28,33,13
2403,"Piura",125,34,70,33
1851,"Loreto",139,36,75,31
923,"Cusco",60,19,37,17
1434,"Cusco",74,24,44,20
1115,"Cusco",54,16,54,20
1443,"Cusco",65,18,54,20
2396,"Piura",141,34,73,32
611,"Cusco",79,28,58,23
1387,"Cusco",77,20,51,19
84,"Cusco",118,32,42,24
395,"Piura",92,23,56,26
1311,"Loreto",79,25,62,32
1299,"Loreto",84,30,67,28
274,"Piura",67,20,57,23
1035,"Cusco",91,24,63,23
840,"Cusco",84,26,55,24
1368,"Piura",88,29,50,23
3231,"Lima Metropolitana",105,30,62,25
959,"Piura",98,30,67,35
1016,"Cusco",77,24,60,28
225,"Piura",73,24,42,22
3371,"Lima Metropolitana",144,36,53,31
2366,"Piura",98,32,70,34
3161,"Lima Metropolitana",116,32,57,28
980,"Piura",98,27,56,29
3249,"Lima Metropolitana",135,29,67,27
2394,"Piura",154,36,71,33
1876,"Piura",117,34,73,27
3310,"Lima Metropolitana",94,23,51,24
3130,"Lima Metropolitana",118,35,65,32
835,"Cusco",118,34,75,28
641,"Piura",69,19,51,20
713,"Loreto",131,32,70,32
1441,"Cusco",66,26,53,22
2007,"Loreto",74,23,59,20
1888,"Piura",109,34,76,27
3202,"Lima Metropolitana",130,25,59,31
3106,"Lima Metropolitana",79,26,46,20
3380,"Lima Metropolitana",140,35,56,32
2352,"Piura",100,34,76,29
1007,"Cusco",64,17,48,16
637,"Piura",65,18,48,19
783,"Loreto",71,19,49,22
949,"Piura",103,30,66,35
950,"Piura",99,28,64,30
958,"Piura",88,31,53,29
730,"Piura",76,26,48,21
2368,"Piura",112,32,69,35
3327,"Lima Metropolitana",88,24,57,24
1527,"Loreto",121,35,72,29
383,"Piura",153,26,67,28
3164,"Lima Metropolitana",113,36,69,32
2255,"Piura",99,31,63,31
28,"Piura",99,23,57,25
1858,"Loreto",118,31,73,28
1388,"Cusco",86,23,56,20
2887,"Lima Metropolitana",90,30,61,24
358,"Cusco",79,20,46,19
1361,"Piura",122,29,66,33
770,"Loreto",98,24,59,23
1034,"Cusco",83,24,51,23
1221,"Cusco",92,27,56,24
1230,"Cusco",95,25,64,25
3272,"Lima Metropolitana",121,31,58,26
1961,"Loreto",153,36,78,32
3238,"Lima Metropolitana",89,24,56,27
1878,"Piura",114,34,75,28
93,"Cusco",113,32,62,26
2341,"Piura",135,35,76,31
12,"Piura",108,27,60,27
3235,"Lima Metropolitana",108,32,62,23
1446,"Cusco",70,22,48,22
3353,"Lima Metropolitana",138,29,58,31
1308,"Loreto",89,26,65,30
3421,"Lima Metropolitana",94,28,60,21
15,"Piura",111,26,55,27
421,"Piura",89,31,61,25
930,"Cusco",98,22,59,22
1517,"Loreto",118,34,64,29
262,"Piura",121,30,70,31
2374,"Piura",131,33,77,35
6,"Piura",114,27,47,27
1373,"Piura",97,28,68,32
1014,"Cusco",63,17,63,20
1353,"Cusco",99,24,56,24
507,"Loreto",115,29,53,26
828,"Cusco",105,31,69,24
235,"Piura",79,22,36,24
3145,"Lima Metropolitana",80,28,61,21
839,"Cusco",78,25,54,23
922,"Cusco",55,21,51,17
1011,"Cusco",57,18,46,18
372,"Piura",156,25,72,34
1085,"Piura",124,35,52,26
2590,"Piura",58,29,37,16
279,"Piura",45,22,46,21
1008,"Cusco",80,22,53,22
426,"Piura",95,34,61,20
2355,"Piura",104,30,76,30
260,"Piura",95,26,68,31
2139,"Cusco",75,20,54,18
286,"Cusco",63,25,54,25
1514,"Loreto",120,34,69,29
3225,"Lima Metropolitana",108,30,62,23
723,"Loreto",102,32,65,26
1883,"Piura",112,34,60,28
3104,"Lima Metropolitana",59,20,50,19
2345,"Piura",102,35,77,31
717,"Loreto",99,35,69,28
2361,"Piura",143,32,76,35
378,"Piura",147,26,78,28
2525,"Piura",67,27,58,21
3131,"Lima Metropolitana",82,30,55,25
1305,"Loreto",65,20,61,31
261,"Piura",102,30,65,31
710,"Loreto",129,33,74,34
1377,"Piura",112,26,61,30
816,"Cusco",106,31,61,24
1372,"Piura",87,27,64,28
3368,"Lima Metropolitana",80,27,60,25
612,"Cusco",78,25,60,21
1752,"Piura",136,36,78,31
2118,"Loreto",77,26,51,23
1451,"Cusco",52,23,55,21
981,"Piura",98,27,60,29
3264,"Lima Metropolitana",65,21,52,21
1229,"Cusco",72,27,50,25
11,"Piura",100,24,56,26
1523,"Loreto",57,25,55,20
3370,"Lima Metropolitana",141,36,68,31
714,"Loreto",121,31,71,33
715,"Loreto",126,34,73,35
869,"Piura",85,30,65,30
566,"Cusco",88,26,57,24
1913,"Loreto",111,30,68,25
373,"Piura",153,25,71,34
638,"Piura",81,22,58,22
2338,"Piura",67,34,70,28
408,"Piura",88,31,54,21
1886,"Piura",101,33,73,27
294,"Cusco",69,24,55,27
1959,"Loreto",154,35,77,28
3109,"Lima Metropolitana",72,18,52,19
708,"Loreto",122,32,72,34
1962,"Loreto",130,34,75,32
2344,"Piura",107,35,77,31
812,"Cusco",97,31,68,26
1456,"Cusco",65,23,51,17
2597,"Piura",34,26,33,8
1304,"Loreto",85,25,63,32
296,"Cusco",81,24,53,28
829,"Cusco",62,30,58,24
387,"Piura",107,25,57,26
362,"Cusco",78,18,46,19
1862,"Loreto",112,29,73,31
1519,"Loreto",67,29,62,21
