Código,Departamento,Escala_Cog.,Escala_Mot.,Escala_Dis.
2437,Piura,38,21,16
1894,Piura,57,21,21
1567,Piura,58,24,18
176,Cusco,38,20,20
1337,Loreto,33,13,24
630,Piura,66,28,26
2484,Piura,58,28,24
515,Cusco,55,22,32
1898,Cusco,57,29,22
118,Cusco,72,23,21
519,Cusco,32,16,17
1048,Loreto,86,31,26
1731,Piura,48,16,23
73,Piura,25,14,19
2418,Piura,44,14,16
2861,Lima Metropolitana,94,35,33
2039,Loreto,49,21,17
1348,Loreto,45,13,21
2879,Lima Metropolitana,121,36,33
496,Piura,44,19,31
1985,Cusco,39,22,15
653,Loreto,72,27,29
1995,Cusco,82,30,25
2433,Piura,73,20,26
2876,Lima Metropolitana,108,35,33
112,Piura,29,16,21
443,Piura,42,17,17
43,Piura,25,15,20
2043,Loreto,77,30,20
2877,Lima Metropolitana,118,37,35
594,Cusco,33,18,16
593,Cusco,36,16,14
1981,Loreto,46,25,24
1565,Loreto,61,21,22
3144,Lima Metropolitana,41,10,22
2300,Piura,66,36,30
2001,Cusco,54,20,21
241,Loreto,61,21,21
1169,Loreto,34,26,21
3269,Lima Metropolitana,96,35,30
1576,Loreto,65,14,22
1149,Piura,53,24,14
2052,Piura,65,24,26
810,Loreto,59,23,23
1822,Loreto,40,18,26
2479,Piura,64,26,22
179,Cusco,39,16,17
1906,Cusco,62,24,25
244,Loreto,77,28,24
3127,Lima Metropolitana,113,34,36
2930,Lima Metropolitana,67,26,21
1835,Piura,59,29,24
1733,Piura,47,25,21
629,Piura,52,18,23
2471,Piura,61,27,20
117,Cusco,52,17,24
2420,Piura,61,24,21
995,Loreto,88,32,29
1948,Loreto,60,26,23
716,Cusco,28,15,18
2477,Piura,47,14,23
143,Cusco,87,21,36
1800,Cusco,60,27,21
3440,Lima Metropolitana,86,24,35
1719,Piura,49,20,21
1796,Cusco,64,29,28
595,Cusco,51,22,15
2868,Lima Metropolitana,110,33,30
1682,Cusco,63,32,36
2060,Piura,61,27,28
1655,Cusco,58,22,22
2430,Piura,41,16,14
2431,Piura,41,17,16
109,Piura,28,14,21
2538,Piura,70,15,11
669,Loreto,82,29,29
1045,Loreto,55,28,27
208,Cusco,47,21,22
2055,Piura,72,30,22
657,Loreto,85,32,30
803,Loreto,50,29,28
2151,Piura,40,14,17
314,Piura,71,28,26
2003,Cusco,67,22,24
1638,Piura,111,22,35
2050,Piura,85,37,30
1156,Piura,58,24,18
2878,Lima Metropolitana,114,34,32
207,Cusco,94,35,29
1151,Piura,60,24,18
1205,Cusco,44,17,21
2054,Piura,78,30,20
2316,Piura,70,37,31
524,Cusco,54,23,23
1912,Cusco,66,30,31
2438,Piura,31,15,16
518,Cusco,45,17,26
2416,Piura,61,21,15
1159,Piura,46,22,17
457,Piura,29,13,11
648,Cusco,81,30,24
2178,Piura,43,20,20
446,Piura,35,15,15
1660,Cusco,78,32,35
3352,Lima Metropolitana,80,13,28
1131,Cusco,29,8,12
2475,Piura,61,25,25
1891,Piura,78,29,29
3486,Lima Metropolitana,59,36,27
2015,Loreto,66,28,25
1720,Piura,62,26,24
619,Piura,52,16,18
135,Cusco,50,15,23
1630,Piura,42,23,26
3135,Lima Metropolitana,112,39,36
283,Cusco,65,25,25
3022,Lima Metropolitana,65,26,23
2434,Piura,48,15,12
2038,Loreto,55,21,23
3292,Lima Metropolitana,78,28,26
1911,Cusco,70,32,29
1593,Loreto,59,23,25
2318,Piura,45,32,24
2059,Piura,67,32,24
1951,Loreto,55,25,24
134,Cusco,67,15,31
172,Cusco,29,13,9
3376,Lima Metropolitana,111,39,34
1904,Cusco,60,23,25
129,Cusco,55,20,17
3123,Lima Metropolitana,70,23,33
1979,Loreto,39,22,22
2053,Piura,58,20,20
1907,Cusco,43,23,23
2000,Cusco,70,23,22
1996,Cusco,58,21,23
2027,Loreto,47,24,23
2472,Piura,48,19,21
114,Piura,28,21,22
2547,Piura,80,32,22
2385,Piura,70,28,23
1955,Loreto,109,37,34
1204,Cusco,40,20,19
1345,Loreto,40,16,22
2051,Piura,79,32,32
2436,Piura,53,19,14
1163,Piura,36,19,13
450,Piura,59,17,23
184,Cusco,110,38,33
2028,Loreto,64,36,28
