Código,Escala_Cog.,Escala_Mot.,Escala_Dis.,Edad_Mes,Región,Modalidad,Departamento,Quintil,Inst_Mat.,Inst_Mat_N
1091,52,17,13,63,Sierra,Cuna-Jardín,Cusco,2,Superior técnico incompleto,7
3423,123,32,28,66,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3427,87,27,25,66,Costa,Jardín,Lima Met.,4,Secundaria completo,6
1396,78,19,21,61,Selva,Jardín,Cusco,3,Primaria incompleto,3
1447,67,17,19,66,Selva,Jardín,Cusco,3,Secundaria completo,6
837,56,25,26,63,Costa,Jardín,Piura,4,Primaria completo,4
2242,88,24,16,61,Costa,Jardín,Piura,3,Primaria incompleto,3
910,42,14,15,48,Sierra,Jardín,Cusco,2,Secundaria incompleto,5
911,39,17,19,46,Sierra,Jardín,Cusco,2,Secundaria incompleto,5
800,70,21,21,57,Sierra,Cuna-Jardín,Cusco,2,Secundaria completo,6
801,75,22,21,55,Sierra,Cuna-Jardín,Cusco,2,Secundaria incompleto,5
2198,117,35,34,59,Costa,Jardín,Piura,5,Superior universitario completo,10
2199,87,30,34,58,Costa,Jardín,Piura,5,Superior universitario completo,10
3374,75,24,21,60,Costa,Jardín,Lima Met.,4,Secundaria completo,6
2282,97,22,28,58,Costa,Jardín,Piura,5,Superior técnico completo,8
2283,116,27,30,61,Costa,Jardín,Piura,5,Superior técnico completo,8
17,53,21,23,56,Sierra,Jardín,Piura,1,Secundaria completo,6
167,80,19,20,56,Costa,Jardín,Piura,3,Secundaria completo,6
168,79,21,26,60,Costa,Jardín,Piura,3,Secundaria completo,6
1057,90,22,23,54,Selva,Jardín,Cusco,4,Superior universitario completo,10
1058,70,21,20,54,Selva,Jardín,Cusco,4,Superior universitario completo,10
1842,117,32,28,55,Selva,Jardín,Loreto,3,Primaria completo,4
1066,58,16,22,54,Costa,Jardín,Piura,4,Secundaria completo,6
1841,116,31,28,52,Selva,Jardín,Loreto,3,Secundaria completo,6
1837,104,32,29,50,Selva,Jardín,Loreto,3,Primaria completo,4
2188,63,21,23,54,Costa,Jardín,Piura,5,Secundaria completo,6
150,83,22,23,63,Costa,Jardín,Piura,3,Secundaria completo,6
153,82,21,26,60,Costa,Jardín,Piura,3,Secundaria completo,6
152,80,21,21,58,Costa,Jardín,Piura,3,Secundaria completo,6
148,61,20,20,51,Costa,Jardín,Piura,3,Secundaria completo,6
151,71,17,18,51,Costa,Jardín,Piura,3,Secundaria completo,6
3162,119,34,32,74,Costa,Jardín,Lima Met.,4,Secundaria incompleto,5
149,95,29,26,52,Costa,Jardín,Piura,3,Secundaria completo,6
847,103,33,31,62,Selva,Jardín,Loreto,4,Secundaria completo,6
3458,116,34,31,64,Costa,Jardín,Lima Met.,4,Superior universitario completo,10
1282,67,22,23,60,Costa,Cuna-Jardín,Piura,4,Secundaria completo,6
3204,75,33,23,56,Costa,Jardín,Lima Met.,4,Secundaria completo,6
1436,62,21,19,67,Selva,Jardín,Cusco,3,Secundaria completo,6
2572,124,29,28,60,Selva,Jardín,Loreto,4,Primaria completo,4
3401,68,26,17,57,Costa,Jardín,Lima Met.,4,Secundaria completo,6
891,78,27,24,70,Sierra,Jardín,Cusco,2,Primaria incompleto,3
2353,98,35,31,71,Costa,Jardín,Piura,3,Primaria completo,4
1435,67,24,23,68,Selva,Jardín,Cusco,3,Secundaria completo,6
1437,71,14,22,65,Selva,Jardín,Cusco,3,Secundaria completo,6
1697,90,18,19,54,Selva,Jardín,Cusco,3,Superior técnico completo,8
1438,67,25,19,61,Selva,Jardín,Cusco,3,Secundaria completo,6
1991,83,22,21,72,Sierra,Jardín,Cusco,2,Inicial,2
1992,96,24,24,72,Sierra,Jardín,Cusco,2,Secundaria completo,6
1993,92,22,21,61,Sierra,Jardín,Cusco,2,Primaria incompleto,3
1987,71,26,26,57,Sierra,Jardín,Cusco,2,Secundaria completo,6
1986,69,23,23,57,Sierra,Jardín,Cusco,2,Primaria incompleto,3
2121,74,24,23,63,Selva,Jardín,Loreto,1,Secundaria incompleto,5
1974,133,36,23,66,Selva,Jardín,Loreto,1,Primaria incompleto,3
2119,77,27,26,65,Selva,Jardín,Loreto,1,Secundaria incompleto,5
1972,129,36,27,63,Selva,Jardín,Loreto,1,Primaria incompleto,3
2122,59,22,19,63,Selva,Jardín,Loreto,1,Secundaria incompleto,5
2111,55,22,23,62,Selva,Jardín,Loreto,1,Secundaria incompleto,5
2113,69,23,24,63,Selva,Jardín,Loreto,1,Secundaria completo,6
2092,92,32,30,57,Selva,Jardín,Loreto,1,Secundaria incompleto,5
2112,72,25,23,64,Selva,Jardín,Loreto,1,Secundaria incompleto,5
1929,86,22,21,50,Sierra,Jardín,Cusco,2,Primaria incompleto,3
1970,78,27,25,60,Selva,Jardín,Loreto,1,Primaria incompleto,3
1009,62,19,17,72,Sierra,Jardín,Cusco,2,Primaria completo,4
1003,59,19,17,71,Sierra,Jardín,Cusco,2,Primaria incompleto,3
1006,51,17,18,69,Sierra,Jardín,Cusco,2,Secundaria incompleto,5
999,65,19,21,68,Sierra,Jardín,Cusco,2,Primaria completo,4
1004,68,18,18,70,Sierra,Jardín,Cusco,2,Secundaria incompleto,5
1005,68,22,19,67,Sierra,Jardín,Cusco,2,Primaria completo,4
1010,69,22,21,66,Sierra,Jardín,Cusco,2,Secundaria completo,6
1000,54,17,14,65,Sierra,Jardín,Cusco,2,Secundaria incompleto,5
1012,59,18,18,61,Sierra,Jardín,Cusco,2,Primaria completo,4
1928,84,18,21,60,Sierra,Jardín,Cusco,2,Secundaria incompleto,5
1931,97,28,28,57,Sierra,Jardín,Cusco,2,Secundaria completo,6
1933,88,26,16,56,Sierra,Jardín,Cusco,2,Secundaria completo,6
2079,65,21,20,56,Sierra,Jardín,Cusco,2,Primaria completo,4
1935,92,22,25,54,Sierra,Jardín,Cusco,2,Secundaria completo,6
2075,72,23,22,50,Sierra,Jardín,Cusco,2,Secundaria completo,6
884,106,31,32,70,Costa,Jardín,Piura,4,Secundaria completo,6
1290,49,22,19,55,Costa,Cuna-Jardín,Piura,4,Secundaria completo,6
1088,132,36,28,72,Sierra,Jardín,Piura,1,Secundaria completo,6
781,92,22,24,69,Selva,Jardín,Loreto,3,Secundaria completo,6
2142,76,27,21,63,Sierra,Jardín,Cusco,2,Secundaria incompleto,5
1849,134,36,32,73,Selva,Jardín,Loreto,3,Primaria completo,4
1524,65,27,20,58,Selva,Jardín,Loreto,4,Secundaria completo,6
560,67,24,21,70,Sierra,Jardín,Cusco,3,Secundaria completo,6
578,74,21,23,68,Sierra,Jardín,Cusco,3,Secundaria incompleto,5
564,103,28,28,69,Sierra,Jardín,Cusco,3,Superior universitario completo,10
577,72,21,23,67,Sierra,Jardín,Cusco,3,Secundaria completo,6
575,61,21,18,66,Sierra,Jardín,Cusco,3,Secundaria completo,6
558,53,21,16,62,Sierra,Jardín,Cusco,3,Secundaria completo,6
574,76,21,21,62,Sierra,Jardín,Cusco,3,Secundaria incompleto,5
565,96,24,27,61,Sierra,Jardín,Cusco,3,Secundaria incompleto,5
1391,96,31,24,64,Selva,Jardín,Cusco,3,Secundaria completo,6
3441,80,28,17,72,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3165,81,30,25,66,Costa,Jardín,Lima Met.,4,Secundaria incompleto,5
3499,105,36,24,64,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3170,69,22,22,62,Costa,Jardín,Lima Met.,4,Secundaria completo,6
1975,134,35,30,70,Selva,Jardín,Loreto,1,Primaria incompleto,3
1973,122,33,26,68,Selva,Jardín,Loreto,1,Primaria incompleto,3
1071,150,35,34,69,Selva,Jardín,Loreto,5,Primaria completo,4
2009,81,27,21,66,Selva,Jardín,Loreto,1,Primaria incompleto,3
3431,113,30,26,62,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3226,109,30,19,62,Costa,Jardín,Lima Met.,4,Secundaria completo,6
1176,64,22,21,58,Selva,Jardín,Loreto,5,Secundaria completo,6
3207,100,32,25,61,Costa,Jardín,Lima Met.,4,Superior universitario incompleto,9
3234,81,25,22,61,Costa,Jardín,Lima Met.,4,Secundaria completo,6
3472,108,25,24,59,Costa,Jardín,Lima Met.,4,Secundaria completo,6
