"Código","Cuatrimestre","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
1117,"2 (Abr-Jun)",65,17,50,21
1135,"2 (Abr-Jun)",151,33,77,35
2010,"2 (Abr-Jun)",74,25,54,20
2337,"2 (Abr-Jun)",101,34,75,27
289,"2 (Abr-Jun)",72,24,54,27
32,"2 (Abr-Jun)",116,27,61,28
704,"2 (Abr-Jun)",141,33,58,32
1867,"2 (Abr-Jun)",106,34,72,29
1309,"2 (Abr-Jun)",124,29,67,33
214,"2 (Abr-Jun)",88,26,41,23
1313,"2 (Abr-Jun)",61,20,59,29
772,"2 (Abr-Jun)",95,23,56,24
1185,"2 (Abr-Jun)",92,29,57,25
1531,"2 (Abr-Jun)",121,35,69,23
927,"2 (Abr-Jun)",92,19,64,24
1138,"2 (Abr-Jun)",124,33,76,29
2512,"2 (Abr-Jun)",144,33,67,24
1018,"2 (Abr-Jun)",55,18,49,20
960,"2 (Abr-Jun)",102,31,71,28
226,"2 (Abr-Jun)",74,23,39,22
2563,"2 (Abr-Jun)",63,20,42,19
571,"2 (Abr-Jun)",92,27,62,23
3406,"2 (Abr-Jun)",78,29,58,17
2514,"2 (Abr-Jun)",108,30,68,24
228,"2 (Abr-Jun)",79,21,44,20
413,"2 (Abr-Jun)",108,28,57,21
3468,"2 (Abr-Jun)",95,24,60,26
836,"2 (Abr-Jun)",83,31,65,23
1139,"2 (Abr-Jun)",51,28,49,21
936,"2 (Abr-Jun)",83,22,64,24
567,"2 (Abr-Jun)",87,25,57,27
989,"2 (Abr-Jun)",96,30,72,29
2554,"2 (Abr-Jun)",117,30,66,28
2562,"2 (Abr-Jun)",136,34,69,33
92,"2 (Abr-Jun)",147,36,67,30
1850,"2 (Abr-Jun)",143,36,76,28
1382,"2 (Abr-Jun)",84,23,55,21
3274,"2 (Abr-Jun)",108,32,55,23
2253,"2 (Abr-Jun)",109,31,63,35
281,"2 (Abr-Jun)",78,25,60,24
2414,"2 (Abr-Jun)",122,35,67,33
257,"2 (Abr-Jun)",119,26,61,30
2372,"2 (Abr-Jun)",126,34,77,35
363,"2 (Abr-Jun)",78,18,46,19
3150,"2 (Abr-Jun)",86,35,64,31
983,"2 (Abr-Jun)",69,25,50,23
2268,"2 (Abr-Jun)",99,31,61,29
982,"2 (Abr-Jun)",72,26,49,24
2339,"2 (Abr-Jun)",150,36,72,30
2526,"2 (Abr-Jun)",71,27,58,23
721,"2 (Abr-Jun)",115,33,68,28
2605,"2 (Abr-Jun)",105,21,58,31
3428,"2 (Abr-Jun)",93,24,56,21
1351,"2 (Abr-Jun)",72,17,52,19
3359,"2 (Abr-Jun)",123,27,47,25
2267,"2 (Abr-Jun)",110,31,63,30
2254,"2 (Abr-Jun)",122,36,64,36
1015,"2 (Abr-Jun)",101,26,66,30
705,"2 (Abr-Jun)",128,32,70,32
1306,"2 (Abr-Jun)",108,29,62,33
1350,"2 (Abr-Jun)",97,26,59,27
820,"2 (Abr-Jun)",114,32,68,24
2596,"2 (Abr-Jun)",63,29,50,18
14,"2 (Abr-Jun)",113,24,58,27
1030,"2 (Abr-Jun)",92,24,63,23
921,"2 (Abr-Jun)",114,25,76,25
3259,"2 (Abr-Jun)",136,35,66,28
1184,"2 (Abr-Jun)",69,22,45,20
2399,"2 (Abr-Jun)",110,32,66,32
1310,"2 (Abr-Jun)",79,29,65,32
1960,"2 (Abr-Jun)",112,33,72,29
1806,"2 (Abr-Jun)",118,28,61,25
1856,"2 (Abr-Jun)",115,31,73,26
3163,"2 (Abr-Jun)",112,34,64,32
3013,"2 (Abr-Jun)",140,36,67,32
626,"2 (Abr-Jun)",72,20,55,23
2518,"2 (Abr-Jun)",109,30,64,21
3184,"2 (Abr-Jun)",86,30,54,26
1371,"2 (Abr-Jun)",123,33,65,31
3437,"2 (Abr-Jun)",109,32,62,25
1179,"2 (Abr-Jun)",87,18,51,23
1038,"2 (Abr-Jun)",79,22,69,28
2377,"2 (Abr-Jun)",121,32,70,34
3133,"2 (Abr-Jun)",112,35,66,30
3167,"2 (Abr-Jun)",78,32,61,21
831,"2 (Abr-Jun)",94,26,49,21
391,"2 (Abr-Jun)",96,22,60,23
1359,"2 (Abr-Jun)",112,32,62,30
2391,"2 (Abr-Jun)",133,33,67,32
1220,"2 (Abr-Jun)",72,30,54,21
1365,"2 (Abr-Jun)",94,29,66,29
