"Código","Región","Escala_Cog.","Escala_Mot.","Escala_Dis."
3269,"Costa",96,35,30
1576,"Selva",65,14,22
1149,"Sierra",53,24,14
2052,"Costa",65,24,26
810,"Selva",59,23,23
1822,"Selva",40,18,26
2479,"Costa",64,26,22
179,"Sierra",39,16,17
1906,"Selva",62,24,25
244,"Selva",77,28,24
3127,"Costa",113,34,36
2930,"Costa",67,26,21
1835,"Costa",59,29,24
1733,"Costa",47,25,21
629,"Costa",52,18,23
2471,"Costa",61,27,20
117,"Selva",52,17,24
2420,"Sierra",61,24,21
995,"Selva",88,32,29
1948,"Selva",60,26,23
716,"Sierra",28,15,18
2477,"Costa",47,14,23
143,"Sierra",87,21,36
1800,"Selva",60,27,21
3440,"Costa",86,24,35
1719,"Sierra",49,20,21
1796,"Selva",64,29,28
595,"Sierra",51,22,15
2868,"Costa",110,33,30
1682,"Selva",63,32,36
2060,"Costa",61,27,28
1655,"Selva",58,22,22
2430,"Sierra",41,16,14
2431,"Sierra",41,17,16
109,"Costa",28,14,21
2538,"Sierra",70,15,11
669,"Selva",82,29,29
1045,"Selva",55,28,27
208,"Sierra",47,21,22
2055,"Costa",72,30,22
657,"Selva",85,32,30
803,"Selva",50,29,28
2151,"Costa",40,14,17
314,"Costa",71,28,26
2003,"Sierra",67,22,24
1638,"Costa",111,22,35
2050,"Costa",85,37,30
1156,"Sierra",58,24,18
2878,"Costa",114,34,32
207,"Sierra",94,35,29
1151,"Sierra",60,24,18
1205,"Selva",44,17,21
2054,"Costa",78,30,20
2316,"Costa",70,37,31
524,"Sierra",54,23,23
1912,"Selva",66,30,31
2438,"Costa",31,15,16
518,"Sierra",45,17,26
2416,"Sierra",61,21,15
1159,"Sierra",46,22,17
457,"Costa",29,13,11
648,"Sierra",81,30,24
2178,"Costa",43,20,20
446,"Costa",35,15,15
1660,"Selva",78,32,35
3352,"Costa",80,13,28
1131,"Selva",29,8,12
2475,"Costa",61,25,25
1891,"Costa",78,29,29
3486,"Costa",59,36,27
2015,"Selva",66,28,25
1720,"Sierra",62,26,24
619,"Costa",52,16,18
135,"Sierra",50,15,23
1630,"Costa",42,23,26
3135,"Costa",112,39,36
283,"Sierra",65,25,25
3022,"Costa",65,26,23
2434,"Sierra",48,15,12
2038,"Selva",55,21,23
3292,"Costa",78,28,26
1911,"Selva",70,32,29
1593,"Selva",59,23,25
2318,"Costa",45,32,24
2059,"Costa",67,32,24
1951,"Selva",55,25,24
134,"Sierra",67,15,31
172,"Sierra",29,13,9
3376,"Costa",111,39,34
1904,"Selva",60,23,25
129,"Selva",55,20,17
3123,"Costa",70,23,33
1979,"Selva",39,22,22
2053,"Costa",58,20,20
1907,"Selva",43,23,23
2000,"Sierra",70,23,22
1996,"Sierra",58,21,23
2027,"Selva",47,24,23
2472,"Costa",48,19,21
114,"Costa",28,21,22
2547,"Sierra",80,32,22
2385,"Costa",70,28,23
1955,"Selva",109,37,34
1204,"Selva",40,20,19
1345,"Selva",40,16,22
2051,"Costa",79,32,32
2436,"Sierra",53,19,14
1163,"Sierra",36,19,13
450,"Costa",59,17,23
184,"Sierra",110,38,33
2028,"Selva",64,36,28
1644,"Costa",80,21,33
2301,"Costa",53,32,28
3036,"Costa",69,30,24
2998,"Costa",40,16,13
1144,"Sierra",59,22,16
2303,"Costa",88,36,27
454,"Costa",61,21,23
1152,"Sierra",44,22,16
1498,"Selva",68,24,25
668,"Selva",88,30,31
1334,"Selva",46,13,26
1264,"Sierra",48,17,17
728,"Sierra",60,23,22
3035,"Costa",59,21,22
1586,"Selva",48,20,23
2306,"Costa",90,33,27
1734,"Costa",26,15,12
1154,"Sierra",51,23,17
2495,"Costa",64,21,21
672,"Selva",84,29,28
2304,"Costa",115,40,36
1949,"Selva",33,15,15
1507,"Selva",66,21,18
3299,"Costa",102,30,35
195,"Sierra",63,27,19
1263,"Sierra",50,19,17
2550,"Sierra",73,27,22
1947,"Selva",53,25,22
764,"Sierra",57,21,23
1793,"Sierra",60,15,25
658,"Selva",66,29,28
1684,"Selva",47,23,34
499,"Sierra",37,14,31
2837,"Costa",108,33,32
2954,"Costa",117,31,26
1900,"Selva",63,32,30
1899,"Selva",62,29,24
2956,"Costa",95,23,26
2959,"Costa",113,26,32
2057,"Costa",84,36,30
2866,"Costa",103,30,30
3004,"Costa",88,25,30
2856,"Costa",112,33,30
2308,"Costa",55,28,25
3003,"Costa",84,27,33
2859,"Costa",107,30,26
3002,"Costa",96,28,29
2942,"Costa",89,22,28
